順位,名前,点数
1012,大同メタル工業,78
1013,ルネサスイーストン,53
1014,日本ハウズイング,63
1015,マルキョウ,116
1016,日本ＫＦＣホールディングス,65
1017,オエノンホールディングス,55
1018,ピジョン,87
1019,フーマイスターエレクトロニクス,70
1020,ラウンドワン,73
1021,ワンダーコーポレーション,90
1022,綿半ホールディングス,61
1023,ＯＣＨＩホールディングス,38
1024,ＣＫＤ,1
1025,東京ドーム,58
1026,ＰＬＡＮＴ,1
1027,東海東京フィナンシャル・ホールディングス,58
1028,ハリマ化成グループ,72
1029,八洲電機,70
1030,メルコホールディングス,77
1031,矢作建設工業,85
1032,メイテック,68
1033,愛知電機,65
1034,日本工営,93
1035,荒川化学工業,76
1036,南都銀行,71
1037,松屋,10
1038,テクノプロ・ホールディングス,60
1039,松屋フーズ,31
1040,東京産業,64
1041,オカモト,65
1042,百五銀行,98
1043,加藤製作所,84
1044,日本電計,106
1045,朝日放送,34
1046,澁谷工業,103
1047,日本新薬,103
1048,築地魚市場,48
1049,ファルテック,96
1050,フジ住宅,62
1051,富士興産,65
1052,メッセージ,36
1053,特種東海製紙,85
1054,永谷園ホールディングス,49
1055,電通国際情報サービス,71
1056,ライトオン,68
1057,高圧ガス工業,86
1058,尾家産業,33
1059,タキヒヨー,50
1060,百十四銀行,84
1061,ファンケル,110
1062,スミダコーポレーション,84
1063,太平電業,38
1064,大崎電気工業,80
1065,ゼロ,125
1066,タカラレーベン,101
1067,ジャムコ,75
1068,東テク,68
1069,アイダエンジニアリング,62
1070,象印マホービン,60
1071,アデランス,66
1072,桧家ホールディングス,67
1073,ＦＤＫ,1
1074,鬼怒川ゴム工業,82
1075,武蔵野銀行,60
1076,泉州電業,54
1077,日本アジアグループ,84
1078,新日本電工,74
1079,王将フードサービス,45
1080,シンフォニア　テクノロジー,63
1081,エレコム,132
1082,月島機械,105
1083,コスモスイニシア,55
1084,メディカルシステムネットワーク,63
1085,パラマウントベッドホールディングス,75
1086,天馬,46
1087,コロナ,166
1088,エコートレーディング,87
1089,ＤＴＳ,1
1090,はごろもフーズ,50
1091,サンリオ,70
1092,ワコム,66
1093,ブックオフコーポレーション,77
1094,紀陽銀行,102
1095,りらいあコミュニケーションズ,70
1096,グローブライド,108
1097,北國銀行,100
1098,天満屋ストア,28
1099,日本シイエムケイ,87
1100,タムロン,85
1101,クロスプラス,98
1102,東京製綱,51
1103,四電工,78
1104,大日本塗料,85
1105,ＮＤＳ,1
1106,若築建設,88
1107,ＷＯＷＯＷ,36
1108,ＥＩＺＯ,1
1109,リケン,183
1110,ヒマラヤ,50
1111,レナウン,77
1112,モリタホールディングス,80
1113,高速,140
1114,京葉銀行,93
1115,信越ポリマー,101
1116,イチネンホールディングス,57
1117,東和薬品,44
1118,日比谷総合設備,42
1119,朝日工業社,59
1120,北野建設,100
1121,マンダム,40
1122,ダンロップスポーツ,91
1123,サカイ引越センター,83
1124,大庄,44
1125,不動テトラ,51
1126,富士古河Ｅ＆Ｃ,42
1127,アルビス,70
1128,タキロン,145
1129,ＵＳＥＮ,1
1130,ホーチキ,70
1131,日本山村硝子,75
1132,双葉電子工業,57
1133,キッセイ薬品工業,76
1134,新日本建設,75
1135,フコク,176
1136,竹内製作所,79
1137,日新商事,55
1138,藤倉化成,95
1139,たけびし,77
1140,住友不動産販売,40
1141,クリエイト・レストランツ・ホールディング,61
1142,藤井産業,40
1143,アイ・テック,56
1144,ワールドホールディングス,84
1145,オルガノ,70
1146,コナカ,176
1147,神鋼環境ソリューション,85
1148,積水樹脂,64
1149,岡部,93
1150,久世,125
1151,三井松島産業,50
1152,阿波銀行,60
1153,イチケン,77
